t,x00,x10,v00,v10,x01,x11,v01,v11,x02,x12,v02,v12,x03,x13,v03,v13,
0.0184,-0.53426,0.12341,-0.846962,0.504391,-0.557061,-0.186721,2.95808,1.10988,0.492302,0.075799,-0.488926,-1.4236,0.508293,0.387512,1.10221,-1.79083,
0.0188,-0.535005,0.123852,-0.846721,0.501107,-0.556115,-0.186364,2.95912,1.11909,0.492126,0.0752868,-0.489938,-1.42199,0.508469,0.387225,1.10109,-1.7948,
0.0192,-0.53575,0.124292,-0.846463,0.497822,-0.555167,-0.186005,2.96011,1.1283,0.491949,0.0747752,-0.490949,-1.42038,0.508645,0.386938,1.09996,-1.79877,
0.0196,-0.536495,0.124728,-0.846188,0.494534,-0.55422,-0.185642,2.96105,1.13752,0.491772,0.0742641,-0.491957,-1.41877,0.508821,0.386649,1.09884,-1.80274,
0.02,-0.537239,0.125162,-0.845895,0.491244,-0.553272,-0.185277,2.96194,1.14674,0.491595,0.0737537,-0.492964,-1.41716,0.508997,0.386361,1.09771,-1.8067,
0.0204,-0.537984,0.125593,-0.845585,0.487952,-0.552324,-0.184908,2.96279,1.15596,0.491417,0.0732438,-0.493968,-1.41556,0.509172,0.386071,1.09657,-1.81065,
0.0208,-0.538728,0.126021,-0.845257,0.484659,-0.551376,-0.184537,2.96358,1.16519,0.491239,0.0727344,-0.494971,-1.41396,0.509348,0.385781,1.09544,-1.81459,
0.0212,-0.539471,0.126446,-0.844912,0.481364,-0.550428,-0.184162,2.96433,1.17442,0.491061,0.0722257,-0.495972,-1.41236,0.509523,0.385491,1.0943,-1.81853,
0.0216,-0.540215,0.126868,-0.844549,0.478068,-0.549479,-0.183785,2.96503,1.18365,0.490882,0.0717175,-0.49697,-1.41076,0.509698,0.385199,1.09315,-1.82246,
0.022,-0.540958,0.127287,-0.844169,0.47477,-0.54853,-0.183405,2.96568,1.19288,0.490703,0.07121,-0.497967,-1.40916,0.509873,0.384907,1.09201,-1.82639,
0.0224,-0.5417,0.127704,-0.843772,0.471472,-0.547581,-0.183022,2.96628,1.20212,0.490524,0.070703,-0.498962,-1.40757,0.510047,0.384615,1.09086,-1.8303,
0.0228,-0.542443,0.128117,-0.843357,0.468173,-0.546632,-0.182636,2.96683,1.21136,0.490344,0.0701965,-0.499955,-1.40598,0.510222,0.384322,1.0897,-1.83422,
0.0232,-0.543185,0.128528,-0.842924,0.464873,-0.545682,-0.182246,2.96733,1.22059,0.490164,0.0696906,-0.500946,-1.40439,0.510396,0.384028,1.08855,-1.83812,
0.0236,-0.543926,0.128935,-0.842474,0.461573,-0.544733,-0.181854,2.96779,1.22983,0.489983,0.0691854,-0.501935,-1.4028,0.51057,0.383734,1.08739,-1.84202,
0.024,-0.544667,0.12934,-0.842007,0.458273,-0.543783,-0.181459,2.96819,1.23907,0.489802,0.0686806,-0.502923,-1.40121,0.510744,0.383439,1.08623,-1.84592,
0.0244,-0.545408,0.129742,-0.841522,0.454972,-0.542833,-0.181061,2.96855,1.24831,0.489621,0.0681765,-0.503908,-1.39963,0.510918,0.383143,1.08506,-1.8498,
0.0248,-0.546148,0.130141,-0.84102,0.451672,-0.541883,-0.18066,2.96886,1.25754,0.489439,0.0676729,-0.504892,-1.39804,0.511091,0.382847,1.0839,-1.85368,
0.0252,-0.546888,0.130537,-0.8405,0.448371,-0.540933,-0.180257,2.96912,1.26678,0.489258,0.0671699,-0.505873,-1.39646,0.511265,0.38255,1.08272,-1.85756,
0.0256,-0.547628,0.13093,-0.839963,0.445071,-0.539983,-0.17985,2.96933,1.27601,0.489075,0.0666674,-0.506853,-1.39488,0.511438,0.382252,1.08155,-1.86143,
0.026,-0.548367,0.13132,-0.839408,0.441772,-0.539033,-0.17944,2.9695,1.28524,0.488893,0.0661656,-0.507832,-1.39331,0.511611,0.381954,1.08037,-1.86529,
0.0264,-0.549105,0.131708,-0.838837,0.438474,-0.538082,-0.179027,2.96961,1.29447,0.48871,0.0656643,-0.508808,-1.39173,0.511783,0.381655,1.07919,-1.86914,
0.0268,-0.549843,0.132092,-0.838247,0.435176,-0.537132,-0.178611,2.96968,1.30369,0.488526,0.0651635,-0.509782,-1.39016,0.511956,0.381356,1.07801,-1.87299,
