t,x0,x1, 
1.52188,1.65122,0.295649,
1.52344,1.65168,0.293545,
1.525,1.65214,0.29144,
1.52656,1.65259,0.289334,
1.52813,1.65304,0.287227,
1.52969,1.65349,0.28512,
1.53125,1.65393,0.283012,
1.53281,1.65437,0.280903,
1.53438,1.65481,0.278793,
1.53594,1.65524,0.276683,
1.5375,1.65568,0.274571,
1.53906,1.6561,0.27246,
1.54063,1.65653,0.270347,
1.54219,1.65695,0.268233,
1.54375,1.65736,0.266119,
1.54531,1.65778,0.264004,
1.54688,1.65819,0.261888,
1.54844,1.6586,0.259771,
1.55,1.659,0.257653,
1.55156,1.6594,0.255535,
1.55313,1.6598,0.253415,
1.55469,1.66019,0.251295,
1.55625,1.66059,0.249174,
1.55781,1.66097,0.247052,
1.55938,1.66136,0.244929,
1.56094,1.66174,0.242805,
1.5625,1.66212,0.24068,
1.56406,1.66249,0.238555,
1.56563,1.66286,0.236428,
1.56719,1.66323,0.234301,
1.56875,1.66359,0.232173,
1.57031,1.66396,0.230043,
1.57188,1.66431,0.227913,
1.57344,1.66467,0.225782,
1.575,1.66502,0.22365,
1.57656,1.66537,0.221517,
1.57812,1.66571,0.219382,
1.57969,1.66605,0.217247,
1.58125,1.66639,0.215111,
1.58281,1.66672,0.212974,
1.58438,1.66706,0.210836,
1.58594,1.66738,0.208697,
1.5875,1.66771,0.206557,
1.58906,1.66803,0.204415,
1.59063,1.66835,0.202273,
1.59219,1.66866,0.20013,
1.59375,1.66897,0.197985,
1.59531,1.66928,0.19584,
1.59688,1.66958,0.193693,
1.59844,1.66988,0.191545,
1.6,1.67018,0.189397,
1.60156,1.67048,0.187247,
1.60313,1.67077,0.185096,
1.60469,1.67105,0.182943,
1.60625,1.67134,0.18079,
1.60781,1.67162,0.178636,
1.60938,1.6719,0.17648,
1.61094,1.67217,0.174323,
1.6125,1.67244,0.172165,
1.61406,1.67271,0.170006,
1.61563,1.67297,0.167846,
1.61719,1.67323,0.165684,
1.61875,1.67349,0.163521,
1.62031,1.67374,0.161357,
1.62188,1.674,0.159192,
1.62344,1.67424,0.157026,
1.625,1.67449,0.154858,
1.62656,1.67473,0.152689,
1.62813,1.67496,0.150519,
1.62969,1.6752,0.148347,
1.63125,1.67543,0.146174,
1.63281,1.67565,0.144,
1.63438,1.67588,0.141824,
1.63594,1.6761,0.139648,
1.6375,1.67631,0.137469,
1.63906,1.67653,0.13529,
1.64062,1.67674,0.133109,
1.64219,1.67694,0.130927,
1.64375,1.67714,0.128743,
1.64531,1.67734,0.126558,
1.64688,1.67754,0.124372,
1.64844,1.67773,0.122184,
1.65,1.67792,0.119995,
1.65156,1.67811,0.117804,
1.65313,1.67829,0.115612,
1.65469,1.67847,0.113419,
1.65625,1.67864,0.111224,
1.65781,1.67882,0.109027,
1.65938,1.67899,0.106829,
1.66094,1.67915,0.10463,
1.6625,1.67931,0.102429,
1.66406,1.67947,0.100226,
1.66563,1.67963,0.0980224,
1.66719,1.67978,0.0958169,
1.66875,1.67993,0.0936098,
1.67031,1.68007,0.0914012,
1.67188,1.68021,0.089191,
1.67344,1.68035,0.0869793,
1.675,1.68048,0.0847659,
1.67656,1.68061,0.082551,
1.67813,1.68074,0.0803344,
1.67969,1.68086,0.0781162,
1.68125,1.68098,0.0758964,
1.68281,1.6811,0.073675,
1.68438,1.68121,0.0714518,
1.68594,1.68132,0.069227,
1.6875,1.68143,0.0670006,
1.68906,1.68153,0.0647724,
1.69063,1.68163,0.0625425,
1.69219,1.68173,0.060311,
1.69375,1.68182,0.0580776,
1.69531,1.68191,0.0558426,
1.69688,1.682,0.0536058,
1.69844,1.68208,0.0513672,
1.7,1.68216,0.0491269,
1.70156,1.68223,0.0468848,
1.70312,1.6823,0.0446408,
1.70469,1.68237,0.0423951,
1.70625,1.68244,0.0401476,
1.70781,1.6825,0.0378982,
1.70938,1.68255,0.0356469,
1.71094,1.68261,0.0333938,
1.7125,1.68266,0.0311389,
1.71406,1.68271,0.028882,
1.71563,1.68275,0.0266233,
1.71719,1.68279,0.0243626,
1.71875,1.68283,0.0221001,
1.72031,1.68286,0.0198356,
1.72188,1.68289,0.0175691,
1.72344,1.68291,0.0153007,
1.725,1.68294,0.0130303,
1.72656,1.68295,0.010758,
1.72813,1.68297,0.00848365,
1.72969,1.68298,0.00620729,
1.73125,1.68299,0.00392891,
1.73281,1.68299,0.0016485,
1.73438,1.68299,-0.000633956,
1.73594,1.68299,-0.00291847,
1.7375,1.68298,-0.00520506,
1.73906,1.68297,-0.00749373,
1.74063,1.68296,-0.0097845,
